epoch,step,timestamp,gpu_0_memory_allocated_GB,gpu_0_memory_reserved_GB,gpu_0_max_memory_allocated_GB,gpu_0_utilization_%,gpu_0_temperature_C,gpu_0_memory_used_GB,gpu_0_memory_total_GB,gpu_1_utilization_%,gpu_1_temperature_C,gpu_1_memory_used_GB,gpu_1_memory_total_GB,gpu_2_utilization_%,gpu_2_temperature_C,gpu_2_memory_used_GB,gpu_2_memory_total_GB,gpu_3_utilization_%,gpu_3_temperature_C,gpu_3_memory_used_GB,gpu_3_memory_total_GB,gpu_4_utilization_%,gpu_4_temperature_C,gpu_4_memory_used_GB,gpu_4_memory_total_GB,gpu_5_utilization_%,gpu_5_temperature_C,gpu_5_memory_used_GB,gpu_5_memory_total_GB,cpu_percent,ram_used_GB,ram_percent
-1,0,0.27741551399230957,0.0,0.0,0.0,48.0,34.0,51.9111328125,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,36.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,23.7,437.7171401977539,22.6
0,0,1.8043420314788818,0.021737098693847656,0.0234375,0.021737098693847656,68.0,33.0,52.443359375,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,37.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,23.4,438.0455741882324,22.6
0,end,15.21001410484314,0.12771224975585938,18.6875,17.43690013885498,28.999999999999996,38.0,72.216796875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,30.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,32.9,439.1630210876465,22.7
1,0,20.005722284317017,0.12771224975585938,0.35546875,17.43690013885498,43.0,41.0,53.88671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,36.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,60.1,439.2163887023926,22.7
1,end,29.12349224090576,0.12771224975585938,18.68359375,17.43715524673462,39.0,36.0,72.21484375,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,36.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,25.5,439.39899826049805,22.8
2,0,31.900667667388916,0.12771224975585938,19.3359375,17.43715524673462,79.0,44.0,72.8671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,37.0,37.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,22.4,439.53170013427734,22.8
2,end,41.037471771240234,0.12771224975585938,19.3359375,17.43715524673462,26.0,38.0,72.8671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,28.000000000000004,38.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,22.5,437.63584899902344,22.7
3,0,44.002180337905884,0.12771224975585938,19.3359375,17.43715524673462,32.0,36.0,72.8671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,37.0,38.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,21.5,437.6883239746094,22.7
3,end,51.15685248374939,0.12771224975585938,19.3359375,17.43715524673462,0.0,36.0,72.8671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,37.0,38.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,21.0,437.84799575805664,22.7
4,0,54.19489574432373,0.12771224975585938,19.3359375,17.43715524673462,1.0,35.0,72.8671875,79.6474609375,0.0,32.0,0.0,79.6474609375,0.0,32.0,0.0,79.6474609375,37.0,38.0,69.6591796875,79.6474609375,0.0,33.0,1.66015625,79.6474609375,0.0,37.0,2.09765625,79.6474609375,21.2,437.8583221435547,22.7
